# 圆锥曲线问题推理过程数据集
# 共 5357 个有效样本 （这里提供了一部分样本[2521]~[5006]）
# 格式：[样本ID] 推理过程


[3778] 由圆的标准方程有圆心为B(3,0),半径为8,根据圆M内切于定圆B且过定点A(-3,0),即有|AM|+|BM|=8,|AB|=6即知M轨迹为椭圆,写出轨迹方程即可.由圆方程知:圆B的圆心为B(3,0),半径为8,\because圆M过定点A(-3,0)且内切于圆B,若设圆M的圆心为M(x,y)\therefore由题意知:|AM|+|BM|=8,而|AB|=6,故可知M在以A,B为焦点的椭圆上,\thereforea=4,c=3,b^{2}=a^{2}-c^{2}=7,即圆心M的轨迹方程:\frac{x2}{\frac{x^{2}}{16}}+\frac{y^{2}}{7}=1】关键点

[3779] 如图,连接O'B交圆O于M点,交抛物线于N点,由抛物线方程y^{2}=-4x,知直其点坐标为B(-1,0),准线方程为x=1,根据抛物线的定义可知:m=|BN|-1\thereforem+|MN|=|MN|+|BN|-1当B,N,M三点共线时m+|MN|=|MN|+|BN|-最小,又点M在圆O上\thereforeB,N,M,O四点共线时,m+|MN|最小,如图所示此时|MN|+m的最小值为:|O'B|-|OM|-1=2\sqrt{2}-2,

[3781] 由椭圆E的右焦点及直线L的斜率为1,可设直线L的方程为y=x-1,代入椭圆方程,由韦达定理及弦长公式求得|MN|.根据右顶点(2,0),利用点到直线距离公式求得B到直线L的距离d,结合AMBN的面积S=\frac{1}{2}\cdot|MN|\cdotd即可得解.羊解】由题意可知椭圆E:\frac{x^{2}}{4}+\frac{y^{2}}{3}=1右焦点(1,0),右顶点(2,0)直线L的斜率为1,且过右焦点(1,0)设直线L的方程为y=x-1,M(x_{1},y_{1}),N(x_{2},y_{2})由\begin{cases}y=x-1\\\frac{x^{2}}{4}+\frac{y^{2}}{3}=1\end{cases},整理得:7x^{2}-8x-8=0由韦达定理可知x_{1}+x_{2}=\frac{8}{7},x_{1}x_{2}=-\frac{8}{7}\_由弦长公式可得|MN|=\sqrt{1+k^{2}}\cdot\sqrt{(x_{1}+x_{2})^{2}-4x_{1}x_{2}}=\sqrt{2}\cdot\sqrt{(\frac{8}{7})^{2}-4\times(-\frac{8}{7})}=\frac{24}{7}由点到直线的距离公式可知,B到直线L的距离d=\frac{|0-2+1|}{\sqrt{1+(-1)^{2}}}=\frac{\sqrt{2}}{2}AMBN的面积_{S}=\frac{1}{2}\cdot|MN|\cdotd=\frac{1}{2}\times\frac{24}{7}\times\frac{\sqrt{2}}{2}=\frac{\sqrt{1}}{7}\thereforeAMBN的面积为\frac{6\sqrt{2}}{7}

[3784] 因为双曲线的渐近线方程为3x-y=0,即y=3x=\frac{b}{a}所以\frac{3}{a}=3,解得a=1根据双曲线定义,P是双曲线\frac{x^{2}}{a^{2}}-\frac{y^{2}}{9}=1(a>0)右支上的一点满足|PF_{1}|-|PF_{2}|=2a=2所以|PF_{1}|=|PF_{2}|+2=5

[3785] 根据曲线表示焦点在x轴上的椭圆,列不等式求解.\because曲线\frac{x2}{25-k}+\frac{y^{2}}{k-9}=1是焦点在x轴上的椭圆,\therefore25-k>k-9>0,解得:9<k<17.

[3786] 由椭圆\frac{x^{2}}{4}+y^{2}=1知,焦点F_{1}(-\sqrt{3},0),F_{2}(\sqrt{3},0),设P(x,y),-2\leqslantx\leqslant2,则\overrightarrow{PF_{1}}\cdot\overrightarrow{PF_{2}}=(-\sqrt{3}-x,-y)\cdot(\sqrt{3}-x,-y)=x^{2}+y^{2}-3=x^{2}+1-\frac{x^{2}}{4}-3=\frac{1}{4}(3x^{2}-8)\because-2\leqslantx\leqslant2,\therefore0\leqslantx^{2}\leqslant4,故\overrightarrow{PF}\cdot\overrightarrow{PF}=\in[-2,1]

[3787] 由题意可得F为(\frac{1}{4},0)准线方程为x=-\frac{1}{4},过点M作MH垂直于准线,垂足为H,准线与x轴的交点为K,可得ANFK\sim\triangleNMH,进而得到\frac{|FK|}{|MH|}=\frac{|NF|}{|NF|+|MF|},化简即为所求由题可得,F为(\frac{1}{4},0)准线方程为x=-\frac{1}{4},过点M作MH垂直于准线,垂足为H,准线与x轴的交点为K,则由抛物线的定义得,|MF|=|MH|.|FK|=\frac{1}{2},且易得ANFK-ANMH\frac{|NF|}{|NF|+|MF|},即\therefore\frac{1}{2|MH|}=\frac{|NF|}{|NF|+|MF|}\therefore2|MF|\cdot|NF|=|NF|+|MF|,两边同时除以|MF|\cdot|NF|\therefore\frac{1}{|MF|}+\frac{1}{|NF|}=2

[3788] 在RtAPF_{1}F_{2}中,DE,可得|PF_{1}|=\sqrt{12^{2}+5^{2}}=13,那么c=6,2a=13-5=8,a=4,故e=\frac{6}{4}=\frac{3}{2},

[3790] 显然t\neq0,直线AB方程为\frac{x}{t}+\frac{y}{-2}=1,即2x-ty-2t=0,由\begin{cases}2x-ty-2t=0\\x^{2}=2y\end{cases},消去y得tx^{2}-4x+4t=0,由题意a=(-4)^{2}-16t^{2}<0,解得t<-1或t>1

[3791] 设双曲线的实半轴长为a,虚半轴长为b,则焦点在x轴上时:\frac{b}{a}=2,\thereforee=\sqrt{1+(\frac{b}{a})^{2}}=\sqrt{5};焦点在y轴上时:\frac{a}{b}=2,e=\frac{c}{a}=\sqrt{\frac{c^{2}}{a^{2}}}=\sqrt{1+(\frac{b}{a})^{2}}=\frac{\sqrt{5}}{2}

[3793] 设以A(2,3)为中点的弦两端点为P_{1}(x_{1},y_{1}),P_{2}(x_{2},y_{2})则x_{1}+x_{2}=4,y_{1}+y_{2}=6.又2x_{1}^{2}-y_{1}^{2}=2,\textcircled{1}2x_{2}^{2}-y_{2}^{2}=2,\textcircled{2}\textcircled{1}-\textcircled{2}得:2(x_{1}+x_{2})(x_{1}-x_{2})=(y_{1}+y_{2})(y_{1}-y_{2})又由对称性知x_{1}\neqx_{2}\thereforeA(2,3)为中点的弦所在直\frac{y_{2}}{x_{2}}=\frac{2(x_{1}+x}{y_{+}y_{0}}\frac{x_{2}}{2}=\frac{2\times4}{6}=\frac{4}{3}所以中点弦所在直线方程为y\cdot3=\frac{4}{3})即4x-3v+1=0.

[3794] 记椭圆C_{1}:\frac{x^{2}}{4}+\frac{y^{2}}{3}=1的左焦点为E(-1,0),由椭圆定义,得到|PE|+|PF|=2a=4,再由圆的方程,得到圆C_{2}的圆心为(-3,4),半径为r=2,画出图形,结合图形,得到|PQ|-|PF|=|PQ|+|PE|-4\geqslant|PC_{2}|+|PE|-6\geqslant|EC_{2}|-6,即可求出结果记椭圆C_{1}:\frac{x^{2}}{4}+\frac{y^{2}}{3}=1的左焦点为E(-1,0)由椭圆的定义可得,|PE|+|PF|=2a=4,所以|PQ|-|PF|=|PQ|+|PE|-4,由x^{2}+y^{2}+6x-8y+21=0得(x+3)^{2}+(y-4)^{2}=4,即圆C_{2}的圆心为(-3,4),半径为r=2,作出图形如下:\begin{matrix}由区的H顶口角,&|PQ|\geqslant|F\complement_{2}|-r=|F\complement_{2}|-\angle,\\|PQ|-|PF|=|PQ|+|PE|-4\geqslant|PC_{2}|+|PE|-6\geqslant|EC_{2}|-6=\sqrt{(-3+1)^{2}+4^{2}}-6=2\sqrt{5}-6(当且仅当C_{2},Q,P,E四点共线时,等号成立.)

[3795] 由椭圆方程求出a,再根据椭圆的定义可求得结果由\frac{x^{2}}{4^{2}}+\frac{y^{2}}{3^{2}}=1,得a=4,由椭圆的定义可得P到该椭圆的两个焦点的距离之和为2a=8

[3796] \because双曲线\frac{x^{2}}{16}-\frac{y^{2}}{9}=1,\therefore2a=8,(5,0)(-5,0)是双曲线的两个焦点,\because点A在双曲线上\therefore||PF_{1}|-|PF_{2}||=8,\because点A到点(5,0)的距离为15,则点A到点(-5,0)是15+8=23或15-8=7,

[3797] 求出双曲线的标准方程,结合双曲线渐近线的方程进行求解即可.双曲线的标准方程为\frac{y^{2}}{9}\cdot\frac{x^{2}}{4}=1,则双曲线的渐近线方程为y=\pm\frac{3}{2}x

[3798] 因为双曲线E与双曲线C:\frac{x^{2}}{4}-y^{2}=1的渐近线相同,所以可设双曲线E的方程是\frac{x^{2}}{4}-y^{2}=\lambda,将点(2,\sqrt{3})的坐标代入\frac{x^{2}}{4}-y2=2得:1-3=\lambda,\therefore\lambda=-2,\therefore所求的双曲线的标准方程\frac{x^{2}}{4}-y^{2}=-2,即\frac{y^{2}}{2}-\frac{x^{2}}{8}=1,

[3799] 在双曲线\frac{x2}{4}-\frac{y^{2}}{5}=1中,a=2,b=\sqrt{5},c=\sqrt{a^{2}+b^{2}}=3所以,双曲线\frac{x^{2}}{4}-\frac{y^{2}}{5}=1的右焦点为F(3,0),而双曲线\frac{x^{2}}{4}-\frac{y^{2}}{5}=1的右顶点到F的距离为1,则P(2,0),因此,点P到y轴的距离是2.

[3800] 抛物线C:y2=8x的焦点F(2,0),直线l的斜率存在且不为0,设直线l的方程为y=k(x-2),联立\begin{cases}y=k(x-2)\\y2=8x\end{cases},消去y,整理得:k^{2}x^{2}-4(k^{2}+2)x+4k^{2}=0,设A(x_{1},y_{1}),B(x_{2},y_{2}),P(x_{0},y_{0}),Q(x_{3},y_{3}),则x_{1}+x_{2}=\frac{4(k^{2}+2)}{k^{2}},则x_{0}=\frac{x_{1}+x_{2}}{2}=\frac{2(k^{2}+2)}{k^{2}},y_{0}=k(x_{0}-2)=\frac{4}{k},\thereforek_{OQ}=\frac{y_{0}}{x_{0}}=\frac{2k}{k^{2}+2},则直线OQ的方程为y=\frac{2k}{k^{2}+2}x,联立\begin{cases}y=\frac{2k}{k^{2}+2}x\\v2=8x\end{cases}解得:x_{3}=\frac{2(k^{2}+2)^{2}}{k^{2}},由k^{2}>0,则\frac{|OP|}{|OO|}=\frac{x_{0}}{x_{3}}=\frac{1}{k^{2}+2}<\frac{1}{2},所以\frac{|OP|}{|OO|}的取值范围为(0,\frac{1}{2})

[3801] \because焦点在x轴上的双曲线C的左焦点为F,右顶点为A\thereforeF(-c,0),A(a,0)\because线段FA的垂直平分线与双曲线C没有公共点\therefore\frac{a-c}{2}>-a\thereforee=\frac{c}{a}<3\becausee\in(1,+\infty)\therefore1<e<3

[3802] 设A(t,\frac{t^{2}}{2})(t>0),由抛物线C:x^{2}=2y得y=\frac{x^{2}}{2},y'=xk=t,则点A处的切线方程为y-\frac{t^{2}}{2}=t(x-t)与x、y轴分别交于两点P(\frac{t}{2},0),Q(0,-\frac{t^{2}}{2})因为\trianglePOQ的面积为1,所以\frac{1}{2}\times|\frac{t}{2}|\times|-\frac{t^{2}}{2}|解得t=2,A(2,2),则|AF|=2+\frac{1}{2}=\frac{5}{2}

[3808] 因为双曲线\frac{x^{2}}{a}-\frac{y^{2}}{3}=1的一条渐近线方程为y=\sqrt{3}x,所以a>0,a=1,所以抛物线方程为y^{2}=4x.所以M(2,y_{0})到该抛物线焦点F(1,0)的距离等于x_{M}+\frac{p}{2}=2+1=3,均答家为:3

[3809] 由题意可知\frac{a2}{c}=4,e=\frac{c}{a}=\frac{1}{2}\thereforea=2,c=1\thereforeb^{2}=3,椭圆方程为\frac{x^{2}}{4}+\frac{y^{2}}{3}=1

[3810] 由题意设双曲线C的标准方程为\frac{y^{2}}{4}-x^{2}=\lambda,又过点(2,2),所以A=-3,\frac{x2}{3}-\frac{y^{2}}{12}=1

[3811] 设该A坐标为(x,y),抛物线C:y^{2}=3x的焦点为F(\frac{3}{4},0),根据抛物线定义可知x+\frac{3}{4}=3,解得x=\frac{9}{4},代入抛物线方程求得y=\pm\frac{3\sqrt{3}}{2},故A坐标为:\frac{9}{4},\pm\frac{3\sqrt{3}}{2},AF的斜率为:\frac{3\sqrt{3}}{\frac{\frac{2}{4}-\frac{3}{4}}=\pm\sqrt{3}则直线FA的倾斜角为:\frac{\pi}{3}或\frac{2\pi}{3}.

[3812] \because抛物线x^{2}=2py(p>0)的准线是直线y=-1,\therefore-\frac{p}{2}=-1,p=2.故抛物线的焦点坐标是(0,1)

[3813] 由y=4x^{2}可得x^{2}=\frac{1}{4}y,所以该抛物线的焦点为F(0,\frac{1}{16}),准线方程为y=-\frac{1}{16},设M(x_{M},y_{M}),由抛物线的定义可得MF=y_{M}+\frac{1}{16}=1,所以y_{M}=\frac{15}{16}

[3816] 由题\frac{y^{2}}{a^{2}}-\frac{x^{2}}{b^{2}}=1,渐近线方程为;y=\frac{4}{3}x,\frac{a}{b}=\frac{4}{3}.又c^{2}=a^{2}+b^{2},b=\frac{3}{4}a,(\frac{c}{a})^{2}=\frac{25}{16},e=\frac{5}{4}.

[3817] 由圆C_{1}:(x+1)^{2}+y^{2}=1可得圆心C_{1}(-1,0),半径r_{1}=1,由圆C_{2}:(x-1)^{2}+y^{2}=25可得圆心C_{2}(1,0),半径r_{2}=5,设圆M的半径为r,因为动圆M同时与圆C_{1}外切和圆C_{2}内切.所以MC_{1}=r+1,MC_{2}=5-r所以MC_{1}+MC_{2}=r+1+5-r=6>C_{1}C_{2}=2,所以点M的轨迹是以C_{1}(-1,0),C_{2}(1,0)为焦点,2a=6的椭圆,所以a=3,c=1,b=\sqrt{a^{2}-c^{2}}=2\sqrt{2}所以动圆的圆心M的轨迹方程为:\frac{x^{2}}{9}+\frac{y^{2}}{8}=1

[3818] 由题意得,焦点坐标是(\frac{1}{2},0),准线方程是x=-\frac{1}{2},故填:(\frac{1}{2},0),x=-\frac{1}{2}.

[3819] 由\overrightarrow{PF_{1}}\cdot\overrightarrow{PF_{2}}=0得\overrightarrow{PF}\cdot\overrightarrow{PF_{2}}=0\because|\overrightarrow{PF_{1}}+\overrightarrow{PF_{2}}|^{2}=(\overrightarrow{PF}_{1}+\overrightarrow{PF_{2}})^{2}=|PF_{1}^{2}+|PF_{2}|^{2}+2\overrightarrow{PF_{1}}\overrightarrow{PF_{2}}=|F_{1}F_{2}|^{2}=(2c)^{2}=4(1+9)=40\therefore|\overrightarrow{PF}_{1}+\overrightarrow{PF}|=2\sqrt{10}

[3821] 依题意可知M(2,0),N(-2,0),P是椭圆上任意一点,设坐标为P(2\cosw,\sqrt{3}\sinw),PM、PN的斜率分别是k_{1}=\frac{\sqrt{3}\sinv}{2(\cos\sqrt[b]{3})},k_{2}=\frac{\sqrt{3}\sinv}{2(\cosw+1)}于是

[3822] 直线y=kx+1是经过P(0,1)的直线,曲线x=\sqrt{y^{2}+1}是双曲线x^{2}-y^{2}=1的右支,如图,其渐近线方程为y=\pmx,直线PM与双曲线右支相切时,由\begin{cases}y=kx+1\\x2-y2=\end{cases}1得(1-k^{2})x^{2}-2kx-2=0A=4k^{2}+8(1-k^{2})=0,k=-\sqrt{2}(k=\sqrt{2}舍去)\therefore直线y=kx+1与曲线x=\sqrt{y^{2}+1}有两个不同的交点时,-\sqrt{2}<k<-1

[3824] \because椭圆C的中心在坐标原点,焦点在x轴上,离心率等于\frac{\sqrt{2}}{2},它的一个顶点恰好是抛物线x^{2}=4y的焦点.由题意,设椭圆方程为\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)则有\begin{cases}\frac{c}{a}=\frac{\sqrt{2}}{2}\\b=1\end{cases},解得a=\sqrt{2},b=c=1\therefore椭圆C的方程:\frac{x^{2}}{2}+y^{2}=1

[3825] 因为抛物线方程为x^{2}=y,所以p=\frac{1}{2}\Rightarrow\frac{p}{2}=\frac{1}{4},又因为抛物线焦点在y轴上所以抛物线x^{2}=y的准线方程为y=-\frac{1}{4}

[3826] 分析:由题设条件知2a=12,a=6,又由_{e}=\frac{\sqrt{3}}{2},则c=3\sqrt{3},从而即可得到b=3,由此可知所求椭圆方程.详由题设条件知2a=12,a=6,又由e=\frac{c}{a}=\frac{\sqrt{3}}{2},则c=3\sqrt{3},\therefore所求椭圆方程为\frac{x^{2}}{36}+\frac{y^{2}}{9}=1

[3828] 设抛物线的焦点为F,因为点A到C的焦点的距离为12所以由抛物线的定义知|AF|=x_{A}+\frac{p}{2}=12,又因为点A到y轴的距离为9,所以x_{A}=9,所以\frac{p}{2}=3,解得p=6.

[3829] 设F(c,0),则A(a,0),不妨取B(0,b)所以直线AB的方程为\frac{x}{a}+\frac{y}{b}=1,即bx+ay-ab=0,所以点F到AB的距离为\frac{|bc-ab|}{\sqrt{a^{2}+b^{2}}}=\frac{1}{2}b.因为a^{2}+b^{2}=c^{2},所以c-a=\frac{1}{2}c,所以a=\frac{1}{2}c,所以e=2

[3830] 若方程\frac{x2}{2\lambda-1}+\frac{y^{2}}{2-\lambda}=1表示椭圆,则\begin{cases}2\lambda-1>0\\2-\lambda>0\\2\lambda-1\neq2-\lambda\end{cases}解之得\frac{1}{2}<\lambda<1或1<\lambda<2

[3831] 设双曲线的焦距为2c,椭圆T:\frac{x^{2}}{4}+\frac{y^{2}}{3}=1的焦点为(\pm1,0),左右顶点分别为(-2,0),(2,0)因为双曲线E:\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0,6>0)的左、右顶点与椭圆T:\frac{x^{2}}{4}+\frac{y^{2}}{3}=1的左、右焦点重合且E的左、右焦点与T的左、右顶点重合所以a=1,c=2,所以E的离心率e=\frac{c}{a}=2.

[3834] 抛物线y^{2}=4x的焦点为F(1,0)由题意可知直线l的方程为y=x-1,设点A(x_{1},y_{1})、B(x_{2},y_{2})联立\begin{cases}y2=4x\\y=x-1\end{cases},消去y可得x^{2}-6x+1=0,4=32>0,由韦达定理得x_{1}+x_{2}=6,则\frac{x_{1}+x_{2}}{2}=3,\frac{y_{1}+y_{2}}{2}=\frac{x_{1}+x_{2}}{2}-1=2线段AB的中点为M(3,2),由抛物线的焦点弦长公式可得|AB|=x_{1}+x_{2}+2=8,因此,以线段AB为直径的圆的方程为(x-3)^{2}+(y-2)^{2}=16

[3837] 抛物线C_{1}:y^{2}=4x的焦点F(1,0).不妨设A为y^{2}=4x与y=\frac{b}{a}x的交点,\becauseAF\botx轴,\thereforeA(1,2)代入y=\frac{b}{a}x得\frac{b}{a}=2,e=\sqrt{1+\frac{b^{2}}{a^{2}}}=\sqrt{5}

[3840] 根据题意画出图形,结合图形求出|BF|=|DF|=|AF|=2p,|BD|=2\sqrt{3}p,由点A到准线/的距离写出\triangleABD的面积,从而求出p的值.\because\angleBFD=120^{\circ},又\because|FF|=p.\therefore|BF|=|DF|=|AF|=2p,|BD|=2\sqrt{3}p.A到准线l的距离d=|AF|=2p,\thereforeS_{\DeltaABD}=\frac{1}{2}\timesd\times|BD|=\frac{1}{2}\times2p\times2\sqrt{3}p=2\sqrt{3}p^{2}=2\sqrt{3},解得p=1

[3842] 由抛物线的准线方程可知,抛物线是焦点在y轴负半轴上的抛物线,并求得p值,则答案可求由抛物线的准线方程为y=2,可知抛物线是焦点在y轴负半轴上的抛物线,设其方程为x^{2}=-2py(p>0),则其准线方程为y=\frac{p}{2}=2,得p=4\therefore该抛物线的标准方程是x^{2}=-8y.

[3843] 由焦点坐标可知c=2\therefore1+b^{2}=4\thereforeb=\sqrt{3},渐近线方程为y=\pm\sqrt{3}x

[3845] 椭圆\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)的左顶点为M(-a,0),上顶点为N(0,b),右焦点为F(c,0)若\overrightarrow{NM}\cdot\overrightarrow{NF}=0,,可知NM\botNF可得:a^{2}+b^{2}+b^{2}+c^{2}=(a+c)^{2},又a^{2}=b^{2}+c^{2}所以a^{2}\cdotc^{2}=ac即e^{2}+e\cdot1=0,e\in(0,解得c=\frac{\sqrt{5}-1}{2},

[3846] 由椭圆的方程mx^{2}+y^{2}=1(m>1),化简为\frac{x^{2}}{m}+y^{2}=1因为椭圆mx^{2}+y^{2}=1的短轴长为\frac{\sqrt{2}}{2}m'可得\frac{1}{m}=(\frac{\sqrt{2}}{4}m)^{2},解得m=2

[3849] 由椭圆\frac{x^{2}}{4}+y^{2}=1,设A(2\cos\alpha\sin\alpha),B(2\cos\beta\sin\beta),对\frac{x^{2}}{4}+y^{2}=1两边对x取导数,可得\frac{x}{2}+2yy'=0即有切线的斜率为-\frac{x}{4y}由题意可得AP,BP均为椭圆的切线,A,B为切点,则直线AP的方程为\frac{xx_{1}}{4}+yy_{1}=1,\therefore\frac{x\cos\alpha}{2}+y\sin\alpha=1,同理可得直线BP的方程为\frac{x\cos\beta}{2}+y\sin\beta=1,求得交点P的坐标为x=\frac{2(\sin\beta-\sin\alpha)}{\sin(\beta-\alpha)},y=\frac{\cos\beta-\cos\alpha}{\sin(\alpha-\beta)},x^{2}y^{2}=\frac{(\sin\beta-\sin\alpha)^{2}+(\cos\beta-\cos\alpha)^{2}}{\sin^{2}(\beta-\alpha)}=\frac{2-2\cos(\beta-\alpha)}{\sin^{2}(\alpha-\beta)}\becausek_{OA}\cdotk_{OB}=\therefore\frac{x^{2}}{4}+y^{2}=2,\frac{\sin\alpha}{\cos\alpha}\cdot\frac{\sin\beta}{2\cos\beta}=-\frac{1}{4},\therefore\cos(\beta-\alpha)=0,\sin(\beta-\alpha)=\pm1,\therefore\sin^{2}(\beta-\alpha)=1,\therefore|PE|=\sqrt{(2\sqrt{2}\cos\theta-\sqrt{6})^{2}+(\sqrt{2}\sin\theta)^{2}}=\sqrt{6\cos^{2}\theta-8\sqrt{3}\cos\theta+8}=\sqrt{6}\cos\theta-2\sqrt{2}\end{matrix}\therefore\cos\theta=1时,|PE|_{\min}=2\sqrt{2}-\sqrt{6}

[3850] 由点P(\frac{3}{2},1)在椭圆C_{2}上,且b>0,所以\frac{1}{4}+\frac{(\frac{3}{2})^{2}}{b^{2}}=1\Rightarrowb=\sqrt{3},则焦点F的坐标为(0,1),又由抛物线C_{1}方程得F(0,\frac{1}{4a}),所以\frac{1}{4a}=1\Rightarrowa=\frac{1}{4},则c_{1}:y=\frac{1}{4}x^{2},由抛物线定义知|MF|等于点M到其准线l:y=-1的距离d,过点P作准线l:y=-1的垂线l:x=\frac{3}{2},则垂线l':x=\frac{3}{2}与抛物线C_{1}:y=\frac{1}{4}x^{2}的交点即为所求M点,所以|MP|+|MF|=|MP|+d的最小值为1-(-1)=2

[3851] 因为方程\frac{x^{2}}{k-3}+\frac{y^{2}}{k+3}=1表示焦点在y轴上的双曲线,则\begin{cases}k+3>0\\k-3<0\end{cases},解得-3<k<3.

[3853] 不妨设直线l与渐近线y=-\frac{b}{a}x垂直,即直线l方程为y=\frac{a}{b}(x+c)由\begin{cases}y=\frac{a}{b}(x+c)\\\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1\end{cases},得b^{2}(\frac{b^{2}y^{2}}{a^{2}}-\frac{2bcy}{a}+c^{2})-a^{2}y^{2}=a^{2b}^{2}即c^{2}(b^{2}-a^{2})y^{2}-2ab^{3}cy+a^{2b^{4}}=0,设A(x_{1},y_{1}),B(x_{2},y_{2}),则y_{1}+y_{2}=\frac{}{c^{2}}\frac{1}{2}\frac{1}{3},y_{1}y_{2}=又\overrightarrow{AF}=2\overrightarrow{FB},F(-c,0),所以y_{1}=-2y_{2}\textcircled{3},\textcircled{3}代入\textcircled{1}得y_{2}=\frac{2ab^{3}}{c(a^{2}-b^{2})},所以y_{1}=-\frac{4ab^{3}}{c(a^{2}-b^{2}})-,y_{1},y_{2}代入\textcircled{2}得-\frac{8a2b^{6}}{c2(a2-b^{2})^{2}}=\frac{a^{2}b^{4}}{c^{2}(b^{2}-a^{2})},整理得9c^{2}=10a^{2},所以e=\frac{c}{a}=\frac{\sqrt{10}}{3}

[3854] 因为抛物线C:x^{2}=4ay的焦点坐标为(0,2)所以C的准线方程为y=-2.

[3855] 因为B(-4,0),C(4,0),所以|BC|=8,又因为\triangleABC的周长等于2所以|AB|+|AC|=12>8,所以顶点A的轨迹是以B,C为焦点的椭圆(去掉与x轴的交点),所以2a=12,c=-4所以a=6,b^{2}=a^{2}-c^{2}=20,所以顶点A的轨迹方程为\frac{x^{2}}{36}+\frac{y^{2}}{20}=1(y\neq0)

[3857] 由题意可得:e=\frac{c}{a}=2,则:\frac{b}{a}=\sqrt{\frac{c^{2}-a^{2}}{a^{2}}}=\sqrt{3},双曲线的渐近线为:y=\pm\sqrt{3}x.令x=-\frac{p}{2}可得:y=\pm\frac{\sqrt{3}}{2}p'据此可得_{S_{\triangleOAB}}=\frac{1}{2}\times\sqrt{3}p\times\frac{p}{2}=\frac{\sqrt{3}}{4}p^{2}=\frac{\sqrt{3}}{4},解得:p=1.

[3858] 由抛物线的方程可知,p=2,焦点坐标F(0,1),准线方程为y=-1,设点P到准线的距离为PM(即PM垂直于准线,M为垂足)则|PA|+|PF|=|PA|+|PM|\geqslant|AM|=6(当且仅当P,A,M共线时取等号)

[3859] 抛物线y^{2}=8x的准线为x=-2,故椭圆的c=\sqrt{a^{2}-5}=2,得a=3故椭圆的离心率为\frac{2}{3}

[3860] 设与直线x-y+3\sqrt{5}=0平行的直线方程为:x-y+c=0,与椭圆方程联立,消元,令\triangle=0,可得c的值,求出两条平行线间的距离,即可求得椭圆\frac{x^{2}}{4}+y^{2}=1-点P到直线x-y+3\sqrt{5}=0的距离最小值.设与直线x-y+3\sqrt{5}=0平行的直线方程为:x-y+c=0,与椭圆方程联立,消元可得5x^{2}+8cx+4c令\triangle=64c^{2}-20(4c^{2}-4)=0,可得c=\pm\sqrt{5},\therefore两条平行线间的距离为\frac{|\pm\sqrt{5}-3\sqrt{5}|}{\sqrt{2}}=2\sqrt{10}或\sqrt{10},\therefore椭圆\frac{x^{2}}{4}+y^{2}=1上的点到直线x-y+3\sqrt{5}=0的距离的最小值是:\sqrt{10}

[3862] 利用根据椭圆的准线方程,设点P(\frac{a2}{c},2y),得中点坐标,代入椭圆方程,整理得y^{2},又y^{2}\geqslant0,解不等式即可得离心率的最小值.由C:\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0),得F(-c,0),l:x=\frac{a2}{c}设点P(\frac{a^{2}}{c},2y),故中点为(\frac{a^{2}-c^{2}}{2c},y)又中点在椭圆上,故代入椭圆方程得\frac{(a^{2}-c^{2})^{2}}{4a^{2c^{2}}}+\frac{y^{2}}{b^{2}}=1整理得y_{2}=b^{2}\cdot[1-\frac{(a^{2}-c^{2})^{2}}{4a^{2}c^{2}}]\geqslant0^{,}故_{1}-\frac{(a^{2}-c^{2})^{2}}{4a^{2}c^{2}}\geqslant0又e=\frac{c}{a}\in(0,1),整理得(e^{2}-3)\leqslant8,3-2\sqrt{2}\leqslante^{2}\leqslant3+2\sqrt{2}即e^{2}\geqslant3-2\sqrt{2}=(\sqrt{2}-1)^{2},e\geqslant\sqrt{2}-1,

[3863] 因为抛物线的顶点在原点,坐标轴为对称轴,且过点P(1,1),所以抛物线的开口方向为向右或者向上,下面分为两种情况进行讨论:若焦点在x轴上,设方程为y^{2}=2px(p>0),将点P(1,1)代入得:1^{2}=2p\times1,所以p=\frac{1}{2},所以抛物线方程为y^{2}=x;若焦点在y轴上,设方程为x^{2}=2py(p>0),将点P(1,1)代入得:1^{2}=2p\times1,所以p=\frac{1}{2},所以抛物线方程为x^{2}=y.

[3864] \because双曲线\frac{x^{2}}{a^{2}}-y^{2}=1的渐近线方程为y=\pm\frac{1}{2}x,\therefore\frac{b}{a}=\frac{1}{2},\becauseb=1,\thereforea=2,c=\sqrt{5},双曲线的离心率为e=\frac{c}{a}=\frac{\sqrt{5}}{2},

