sample_id,before_curve_type,after_curve_type,before_query_type,after_query_type,query_type_changed,before_reasoning_success,after_reasoning_success,reasoning_transition,before_final_answer_correct,after_final_answer_correct,correctness_transition,before_failure_reason,after_failure_reason,before_reasoning_failure_reason,after_reasoning_failure_reason,before_num_steps,after_num_steps,num_steps_delta,before_first_model,after_first_model,before_last_model,after_last_model,before_model_sequence_len,after_model_sequence_len,model_sequence_changed,model_sequence_lcp,new_model_ids_after,removed_model_ids_after,after_repeated_model_loop,expected_answer,before_predicted_answer,after_predicted_answer,query,facts,before_model_sequence,after_model_sequence
3598,Hyperbola,Hyperbola,Equation,Equation,False,False,True,failure->success,False,False,wrong->wrong,no_model,answer_mismatch,no_model,none,0,8,8,none,1,none,1,0,8,True,0,1,,True,x^2/9-y^2/16=1,,Expression(Asymptote(G)) = (y = pm*(4/3)*x),Expression(G),"G: Hyperbola;Coordinate(Focus(G)) = (pm*5, 0);Expression(Asymptote(G)) = (y = pm*(4/3)*x)",,1 1 1 1 1 1 1 1
3628,Ellipse,Ellipse,Eccentricity,Eccentricity,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,0,0,0,0,15,15,False,15,,,True,1/2,Eccentricity not found,Eccentricity not found,Eccentricity(G),"G: Ellipse;PointOnCurve(H, G) = True;H: Point;Coordinate(H) = (2, 3);F1: Point;F2: Point;Focus(G) = {F1,F2};Coordinate(F1) = (-2, 0);Coordinate(F2) = (2, 0)",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3655,Ellipse,Ellipse,Area,Area,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,56,56,13,13,15,15,False,15,,,False,3,Max not found,Max not found,"Max(Area(TriangleOf(F1, P, Q)))","l: Line;G: Ellipse;F1: Point;P: Point;Q: Point;F2: Point;Expression(G) = (x^2/4 + y^2/3 = 1);LeftFocus(G) = F1;RightFocus(G) = F2;PointOnCurve(F2, l);Intersection(l, G) = {P, Q}",56 56 56 56 56 56 56 56 13 13 13 13 13 13 13,56 56 56 56 56 56 56 56 13 13 13 13 13 13 13
3656,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,29,29,62,62,15,15,False,15,,,False,"{0, 1}",k: Number,k: Number,k,"H: Line;Expression(H) = (y = k*x + 2);k: Number;G: Parabola;Expression(G) = (y^2 = 8*x);NumIntersection(H, G) = 1",29 29 29 29 29 29 29 62 62 62 62 62 62 62 62,29 29 29 29 29 29 29 62 62 62 62 62 62 62 62
3697,Ellipse,Ellipse,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,"[sqrt(3)/3, sqrt(2)/2]",Range(Eccentricity(G)) not found,Range(Eccentricity(G)) not found,Range(Eccentricity(G)),"F1: Point;F2: Point;Coordinate(F1) = (-c, 0);Coordinate(F2) = (c, 0);Focus(G) = {F1, F2};c: Number;G: Ellipse;Expression(G) = (y^2/b^2 + x^2/a^2 = 1);a: Number;b: Number;a > b;b > 0;P: Point;PointOnCurve(P, G);DotProduct(VectorOf(P, F1), VectorOf(P, F2)) = c^2",13,13
3744,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,2,2,29,29,15,15,False,15,,,True,8,sqrt((x1-x2)^2+(y1-y2)^2),sqrt((x1-x2)^2+(y1-y2)^2),"Abs(LineSegmentOf(P1, P2))","G: Parabola;Expression(G) = (x^2 = 4*y);H: Line;F: Point;Focus(G) = F;PointOnCurve(F, H);P1: Point;P2: Point;x1: Number;x2: Number;y1: Number;y2: Number;Coordinate(P1) = (x1, y1);Coordinate(P2) = (x2, y2);Intersection(H, G) = {P1, P2};y1 + y2 = 6",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
3748,Parabola,Parabola,Equation,Equation,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,29,29,62,62,15,15,False,15,,,False,x=3,Equation(LineOf) not found,Equation(LineOf) not found,"Expression(LineOf(A,B))","G: Parabola;A: Point;B: Point;Expression(G) = (y^2 = 8*x);PointOnCurve(A, G);PointOnCurve(B, G);Distance(MidPoint(LineSegmentOf(A,B)),Directrix(G))=5",29 29 29 29 29 29 29 29 62 62 62 62 62 62 62,29 29 29 29 29 29 29 29 62 62 62 62 62 62 62
3767,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,sqrt(6)/2,sqrt(1+4/a^2),sqrt(1+4/a^2),Eccentricity(C),C: Hyperbola;Expression(C) = (-y^2/4 + x^2/a^2 = 1);a: Number;FocalLength(C) = 4*sqrt(3),21,21
3783,Parabola,Parabola,Value,Value,False,False,True,failure->success,False,True,wrong->correct,max_steps,none,max_steps,none,15,15,0,62,62,62,62,15,15,False,15,,,True,4*sqrt(2),"Abs(LineSegmentOf(A, B)) not found",4*sqrt(2),"Abs(LineSegmentOf(A, B))","G: Parabola;B: Point;A: Point;M: Point;Expression(G) = (x^2 = 4*y);Coordinate(M) = (2, 2);PointOnCurve(A, G);PointOnCurve(B, G);MidPoint(LineSegmentOf(A,B)) = M",62 62 62 62 62 62 62 62 62 62 62 62 62 62 62,62 62 62 62 62 62 62 62 62 62 62 62 62 62 62
3785,Ellipse,Ellipse,Range,Range,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,13,13,13,13,15,15,False,15,,,True,"(9,17)","(-oo, 9)+(25, +oo)","(-oo, 9)+(25, +oo)",Range(k),"H:Ellipse;k: Number;Expression(G) = (x^2/(25 - k) + y^2/(k - 9) = 1);PointOnCurve(Focus(H),xAxis);H = G;G: Curve",13 13 13 13 13 13 13 13 13 13 13 13 13 13 13,13 13 13 13 13 13 13 13 13 13 13 13 13 13 13
3796,Hyperbola,Hyperbola,Distance,Distance,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,"7, 23",15,15,"Distance(A, I)","G: Hyperbola;H: Point;I: Point;A: Point;Expression(G) = (x^2/16 - y^2/9 = 1);Coordinate(H) = (5, 0);Coordinate(I) = (-5, 0);PointOnCurve(A, G);Distance(A, H) = 15",1,1
3815,Ellipse,Ellipse,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,4,"Abs(LineSegmentOf(O, N)) not found","Abs(LineSegmentOf(O, N)) not found","Abs(LineSegmentOf(O, N))","G: Ellipse;M: Point;F1: Point;O: Origin;N: Point;Expression(G) = (x^2/25 + y^2/9 = 1);OneOf(Focus(G))=F1;Distance(M,F1)=2;MidPoint(LineSegmentOf(M,F1))=N;PointOnCurve(M,G)",13,13
3825,Parabola,Parabola,Equation,Equation,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,y=-1/4,,,Expression(Directrix(G)),G: Parabola;Expression(G) = (x^2 = y),,
3829,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,2,sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(G),"G: Hyperbola;b: Number;a: Number;B: Point;A: Point;F: Point;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);RightFocus(G) = F;RightVertex(G)=A;OneOf(Endpoint(ImageinaryAxis(G)))=B;Distance(F,LineOf(A,B)) = b/2",13,13
3834,Parabola,Parabola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,78,78,62,62,15,15,False,15,,,False,(x-3)^2+(y-2)^2=16,Expression(G) = (y^2 = 4*x),Expression(G) = (y^2 = 4*x),Expression(H),"G: Parabola;Expression(G) = (y^2 = 4*x);l: Line;Slope(l) = 1;PointOnCurve(Focus(G), l);A: Point;B: Point;Intersection(l, G) = {A, B};H: Circle;IsDiameter(LineSegmentOf(A, B), H)",78 78 78 42 42 42 42 42 43 43 62 62 62 62 62,78 78 78 42 42 42 42 42 43 43 62 62 62 62 62
3858,Parabola,Parabola,Value,Value,False,False,True,failure->success,False,True,wrong->correct,max_steps,none,max_steps,none,15,15,0,2,2,29,29,15,15,False,15,,,True,6,Min not found,6,"Min(Abs(LineSegmentOf(P, A)) + Abs(LineSegmentOf(P, F)))","G: Parabola;A: Point;P: Point;F: Point;Expression(G) = (x^2 = 4*y);Coordinate(A) = (-1, 5);Focus(G) = F;PointOnCurve(P, G)",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
3861,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,y^2=16*x,Expression(G) = (x^2/6 - y^2/10 = 1),Expression(G) = (x^2/6 - y^2/10 = 1),Expression(H),G: Hyperbola;H: Parabola;Expression(G) = (x^2/6 - y^2/10 = 1);Vertex(H) = Center(G);Focus(H) = RightFocus(G),21,21
3897,Ellipse,Ellipse,Range,Range,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,"[pi/6, 5*pi/6]",Range(theta) not found,Range(theta) not found,Range(theta),"G: Ellipse;a: Number;b: Number;H: Line;A: Point;F: Point;B: Point;a > b;b > 0;Expression(G) = (y^2/b^2 + x^2/a^2 = 1);theta: Number;Inclination(H) = theta;O: Origin;PointOnCurve(O, H);Intersection(H, G) = {A, B};LeftFocus(G) = F;IsPerpendicular(LineSegmentOf(A, F), LineSegmentOf(B, F));Eccentricity(G) = e;e: Number;In(e, [sqrt(2)/2, sqrt(6)/3])",13,13
3906,Ellipse,Ellipse,Area,Area,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,56,56,13,13,15,15,False,15,,,False,1,6.28318,6.28318,"Area(TriangleOf(F1, P, F2))","G: Ellipse;Expression(G) = (x^2/4 + y^2 = 1);F1: Point;F2: Point;LeftFocus(G) = F1;RightFocus(G) = F2;P: Point;PointOnCurve(P, G) = True;LineSegmentOf(P, F1)*LineSegmentOf(P, F2) = 0",56 56 56 56 56 56 56 56 13 13 13 13 13 13 13,56 56 56 56 56 56 56 56 13 13 13 13 13 13 13
3944,Parabola,Parabola,Area,Area,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,42,42,43,43,15,15,False,15,,,True,-8;2*sqrt(2),"Expression 'y1*y2' not found
Min not found","Expression 'y1*y2' not found
Min not found","y1*y2;Min(Area(TriangleOf(A,B,F)))","G: Parabola;Expression(G) = (y^2 = 4*x);F: Point;Focus(G) = F;P: Point;Coordinate(P) = (2, 0);H: Line;PointOnCurve(P,H);A: Point;B: Point;Intersection(H, G) = {A, B};x1: Number;x2: Number;y1: Number;y2: Number;Coordinate(A) = (x1, y1);Coordinate(B) = (x2, y2)",42 42 42 43 43 43 43 43 43 43 43 43 43 43 43,42 42 42 43 43 43 43 43 43 43 43 43 43 43 43
3946,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,"(1, sqrt(5)]",Range(Eccentricity(C)) not found,Range(Eccentricity(C)) not found,Range(Eccentricity(C)),"C: Hyperbola;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a>0;b>0;F: Point;Coordinate(F) = (3*sqrt(5), 0);RightFocus(C) = F;N: Point;Coordinate(N) = (0, 2);M: Point;PointOnCurve(M, LeftPart(C));Negation(Perimeter(TriangleOf(M, N, F)) < 20)",1,1
3965,Hyperbola,Hyperbola,Area,Area,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,12*sqrt(3),Area not found,Area not found,"Area(TriangleOf(F1, P, F2))","G: Hyperbola;F1: Point;P: Point;F2: Point;Expression(G) = (x^2/4 - y^2/12 = 1);Focus(G) = {F1, F2};PointOnCurve(P, G);AngleOf(F1, P, F2) = ApplyUnit(60, degree)",1,1
3978,Parabola,Parabola,Distance,Distance,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,29,29,29,29,15,15,False,15,,,True,2,Distance not found,Distance not found,"Distance(M, yAxis)","A: Point;F: Point;G: Parabola;O: Origin;M: Point;Expression(G) = (y^2 = 4*x);Focus(G) = F;PointOnCurve(A, G);AngleOf(O, F, A) = ApplyUnit(120, degree);MidPoint(LineSegmentOf(A, F)) = M",29 29 29 29 29 29 29 29 29 29 29 29 29 29 29,29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
4018,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,x^2/9-y^2/27=1,(x^2-y^2/3)/a^2=1,(x^2-y^2/3)/a^2=1,Expression(C),"C: Hyperbola;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a>0;b>0;D: Point;PointOnCurve(D, C) = True;P1: Point;P2: Point;Focus(C) = {P1, P2};Abs(Distance(D, P1) - Distance(D, P2)) = 6;Eccentricity(C) = 2",1,1
4052,Hyperbola,Hyperbola,Area,Area,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,1,1,13,13,15,15,False,15,,,False,32/15,Area not found,Area not found,"Area(TriangleOf(A, F, B))","G: Hyperbola;Expression(G) = (x^2/9 - y^2/16 = 1);A: Point;RightVertex(G)=A;F: Point;RightFocus(G)=F;H: Line;PointOnCurve(F,H);IsParallel(H,OneOf(Asymptote(G)));B: Point;Intersection(H,G)=B",1 1 1 1 1 1 1 62 13 13 13 13 13 13 13,1 1 1 1 1 1 1 62 13 13 13 13 13 13 13
4054,Ellipse,Ellipse,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,sqrt(3)/3,sqrt(1-b^2/a^2),sqrt(1-b^2/a^2),Eccentricity(G),"G: Ellipse;b: Number;a: Number;F1: Point;P: Point;F2: Point;a > b;b > 0;Expression(G) = (y^2/b^2 + x^2/a^2 = 1);LeftFocus(G) = F1;RightFocus(G) = F2;L:Line;PointOnCurve(F1, L);IsPerpendicular(L,xAxis);Intersection(L, G) = P;AngleOf(F1, P, F2) = ApplyUnit(60, degree)",13,13
4057,Other,Other,Equation,Equation,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,x^2/4+y^2/3=1,,,LocusEquation(P),"P: Point;x_: Number;y_: Number;Coordinate(P) = (x_, y_);sqrt(y_^2 + (x_ - 1)^2) + sqrt(y_^2 + (x_ + 1)^2) = 4",,
4062,Ellipse,Ellipse,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,62,62,62,62,1,1,False,1,,,False,4*x+9*y-13=0,Equation(OverlappingLine) not found,Equation(OverlappingLine) not found,"Expression(OverlappingLine(LineSegmentOf(A,B)))","G: Ellipse;A: Point;B: Point;M: Point;H:Line;Expression(G) = (x^2/9 + y^2/4 = 1);Coordinate(M) = (1, 1);PointOnCurve(M,H);Intersection(H,G)={A,B};IsChordOf(LineSegmentOf(A,B),G);MidPoint(LineSegmentOf(A, B)) = M",62,62
4079,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,2,2,29,29,15,15,False,15,,,True,10,sqrt((x1-x2)^2+(y1-y2)^2),sqrt((x1-x2)^2+(y1-y2)^2),"Abs(LineSegmentOf(A, B))","G: Parabola;Expression(G) = (y^2 = 4*x);H: Line;PointOnCurve(Focus(G), H);A: Point;B: Point;x1: Number;x2: Number;y1: Number;y2: Number;Coordinate(A) = (x1, y1);Coordinate(B) = (x2, y2);Intersection(H, G) = {A, B};x1+x2=8",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
4119,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,29,29,15,15,False,15,,,True,1/3,"Expression 'Abs(LineSegmentOf(A, F))/Abs(LineSegmentOf(B, F))' not found","Expression 'Abs(LineSegmentOf(A, F))/Abs(LineSegmentOf(B, F))' not found","Abs(LineSegmentOf(A, F))/Abs(LineSegmentOf(B, F))","l: Line;G: Parabola;p: Number;A: Point;F: Point;B: Point;p>0;Expression(G) = (y^2 = 2*p*x);Focus(G) = F;PointOnCurve(F, l);Inclination(l) = ApplyUnit(120, degree);Intersection(l, G) = {A, B};Quadrant(A)=1;Quadrant(B)=4",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
4167,Hyperbola,Hyperbola,Range,Range,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,"(1,sqrt(6)/2)",Range(e) not found,Range(e) not found,Range(e),"C: Hyperbola;P: Point;A: Point;B: Point;a: Number;b: Number;a>0;b>0;e: Number;Expression(C) = (x^2/a^2 - y^2/b^2 = 1);Coordinate(A) = (a, 0);Coordinate(B) = (2*a, 0);PointOnCurve(P,RightPart(C));Negation(P=A);VectorOf(P, A)^2 + VectorOf(P, B)^2 = a^2;Eccentricity(C) = e",21,21
4178,Ellipse,Ellipse,Range,Range,False,True,True,success->success,True,True,correct->correct,none,none,none,none,15,15,0,13,13,13,13,15,15,False,15,,,True,"(3, 6)+(6, 9)","(3, 6)+(6, 9)","(3, 6)+(6, 9)",Range(t),G: Ellipse;Expression(G) = (x^2/(9 - t) + y^2/(t - 3) = 1);t: Real,13 13 13 13 13 13 13 13 13 13 13 13 13 13 13,13 13 13 13 13 13 13 13 13 13 13 13 13 13 13
4197,Hyperbola,Hyperbola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,65,65,65,65,15,15,False,15,,,True,4,m: Number,m: Number,m,G: Hyperbola;Expression(G) = (-m*y^2 + x^2 = 1);m: Number;Length(RealAxis(G)) = 2*Length(ImageinaryAxis(G)),65 65 65 65 65 65 65 65 65 65 65 65 65 65 65,65 65 65 65 65 65 65 65 65 65 65 65 65 65 65
4217,Ellipse,Ellipse,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,7,Min not found,Min not found,"Min(Abs(LineSegmentOf(P, M)) + Abs(LineSegmentOf(P, N)))","G: Ellipse;H1: Circle;H2: Circle;P: Point;M: Point;N: Point;Expression(G) = (x^2/25 + y^2/16 = 1);Expression(H1) = (y^2 + (x + 3)^2 = 1);Expression(H2) = (y^2 + (x - 3)^2 = 4);PointOnCurve(P, G);PointOnCurve(M, H1);PointOnCurve(N, H2)",13,13
4222,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,62,62,62,62,15,15,False,15,,,True,4/3,"Abs(LineSegmentOf(P, F)) not found","Abs(LineSegmentOf(P, F)) not found","Abs(LineSegmentOf(P, F))","G: Parabola;P: Point;A: Point;F: Point;O: Origin;l: Line;Expression(G) = (x^2 = 4*y);Focus(G) = F;Directrix(G) = l;PointOnCurve(P, G);PointOnCurve(P, LineSegmentOf(P,A));IsPerpendicular(LineSegmentOf(P,A),l);FootPoint(LineSegmentOf(P,A),l)=A;AngleOf(A, F, O) = ApplyUnit(30, degree)",62 62 62 62 62 62 62 62 62 62 62 62 62 62 62,62 62 62 62 62 62 62 62 62 62 62 62 62 62 62
4236,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,2,2,29,29,15,15,False,15,,,True,4,p,p,p,"C: Parabola;p: Number;M: Point;F: Point;p>0;Expression(C) = (y^2 = 2*(p*x));Coordinate(MidPoint(LineSegmentOf(M,F))) = (2, 2);PointOnCurve(M, C);Focus(C) = F",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
4238,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,29,29,62,62,15,15,False,15,,,False,36,Min not found,Min not found,"Min(Abs(LineSegmentOf(O, P))^2 + Abs(LineSegmentOf(O, Q))^2)","l: Line;G: Parabola;Expression(G) = (y^2 = 4*x);Intersection(l, G) = {A, B};A: Point;B: Point;O: Origin;Slope(LineOf(O,A)) * Slope(LineOf(O,B)) = -1;C: Circle;Center(C) = MidPoint(LineSegmentOf(A,B));Radius(C) = sqrt(2);Intersection(l,C) = {P,Q};P: Point;Q: Point",29 29 29 29 29 29 29 62 62 62 62 62 62 62 62,29 29 29 29 29 29 29 62 62 62 62 62 62 62 62
4253,Hyperbola,Hyperbola,Equation,Equation,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,y^2/4-x^2/5=1,,,Expression(G),"G: Hyperbola;Coordinate(OneOf(Vertex(G))) = (0, 2);FocalLength(G) = 6",,
4290,Hyperbola,Hyperbola,Equation,Equation,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,y^2-9*x^2=1,,,Expression(G),"G: Hyperbola;A: Point;Coordinate(A) = (1, sqrt(10));Expression(Asymptote(G)) = (y = pm*(3*x));PointOnCurve(A,G)",,
4319,Ellipse,Ellipse,Range,Range,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,13,13,13,13,15,15,False,15,,,True,{6},"Range(Perimeter(TriangleOf(P, F, Q))) not found","Range(Perimeter(TriangleOf(P, F, Q))) not found","Range(Perimeter(TriangleOf(P, F, Q)))","G: Ellipse;Expression(G) = (x^2/9 + y^2/8 = 1);F: Point;RightFocus(G) = F;H: Circle;Expression(H) = (x^2 + y^2 = 8);M: Point;Quadrant(M) = 1;Z: Line;TangentOnPoint(M, H) = Z;P: Point;Q: Point;Intersection(Z, G) = {P, Q}",13 13 13 13 13 13 13 13 13 13 13 13 13 13 13,13 13 13 13 13 13 13 13 13 13 13 13 13 13 13
4364,Circle,Circle,Equation,Equation,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,75,75,75,75,15,15,False,15,,,True,"{(x^2/9+y^2/5=1)&Negation(x=-3),(y=0)&Negation(x=-3)&Negation(x=-2)&Negation(x=2)}",Equation(Center) not found,Equation(Center) not found,LocusEquation(Center(P)),"P: Circle;M:Circle;N:Circle;Expression(M)=((x-2)^2+y^2=25);Expression(N)=((x+2)^2+y^2=1);IsTangent(P,M);IsTangent(P,N)",75 75 75 75 75 75 75 75 75 75 75 75 75 75 75,75 75 75 75 75 75 75 75 75 75 75 75 75 75 75
4404,Hyperbola,Hyperbola,Distance,Distance,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,65,65,65,65,15,15,False,15,,,True,sqrt(3),Distance not found,Distance not found,"Distance(LeftFocus(G), Asymptote(G))",G: Hyperbola;Expression(G) = (x^2 - y^2/3 = 1),65 65 65 65 65 65 65 65 65 65 65 65 65 65 65,65 65 65 65 65 65 65 65 65 65 65 65 65 65 65
4415,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,29,29,15,15,False,15,,,True,12,"Expression 'Abs(VectorOf(F,A))+2*Abs(VectorOf(F,B))' not found","Expression 'Abs(VectorOf(F,A))+2*Abs(VectorOf(F,B))' not found","Abs(VectorOf(F,A))+2*Abs(VectorOf(F,B))","G: Parabola;Expression(G) = (y^2 = 8*x);F: Point;Focus(G) = F;A: Point;B: Point;PointOnCurve(A, G);PointOnCurve(B, G);VectorOf(A, F) = 2*VectorOf(F, B)",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
4416,Ellipse,Ellipse,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,"[sqrt(3)/2, 1)",Range(Eccentricity(G)) not found,Range(Eccentricity(G)) not found,Range(Eccentricity(G)),"G: Ellipse;Expression(G) = (y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a > b;b > 0;F1: Point;F2: Point;LeftFocus(G) = F1;RightFocus(G) = F2;P: Point;PointOnCurve(P, G) ;AngleOf(F1, P, F2) = 2*pi/3",13,13
4426,Ellipse,Ellipse,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,4,Max not found,Max not found,"Max(sqrt(Abs(LineSegmentOf(P, F1)))*sqrt(Abs(LineSegmentOf(P, F2))))","G: Ellipse;P: Point;F1: Point;F2: Point;x0:Number;y0:Number;Expression(G) = (x^2/16 + y^2/9 = 1);Coordinate(P) = (x0, y0);PointOnCurve(P, G);Focus(G) = {F1, F2}",13,13
4432,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,x**2/3-y**2=1,-y^2/b^2+x^2/a^2=1,-y^2/b^2+x^2/a^2=1,Expression(C),"C: Hyperbola;b: Number;a: Number;G: Circle;O: Origin;F: Point;A: Point;a>0;b>0;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);RightFocus(C) = F;IsDiameter(LineSegmentOf(O,F),G);Intersection(G,OneOf(Asymptote(C)))=A;sqrt(3)*Abs(LineSegmentOf(O, F)) = 2*Abs(LineSegmentOf(O, A));Distance(F,l) = 1;l: Line;OneOf(Asymptote(C)) = l",21,21
4446,Hyperbola,Hyperbola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,1,"Abs(LineSegmentOf(A, F)) not found","Abs(LineSegmentOf(A, F)) not found","Abs(LineSegmentOf(A, F))",G: Hyperbola;A: Point;F: Point;Expression(G) = (x^2/9 - y^2/7 = 1);RightVertex(G) = A;RightFocus(G) = F,1,1
